X,Y,T,ageshr19,ageshr60,buyuk,hischshr1520m,i89,lpop1994,merkezi,merkezp,partycount,prov,prov_num,sexr,shhs,subbuyuk,vshr_islam1994
-35.606632,22.962963,0,42.208569,7.5067425,0,37.931034,0,7.9969902,1,0,6,Adana,Adana,97.748146,4.6703987,0,1.5448381
-54.347824,25.438599,0,44.098789,6.3405366,0,30.890053,0,7.3626451,0,0,4,Adana,Adana,112.03424,6.8139157,0,2.513587
-20.409229,22.682732,0,43.54768,5.5399704,1,22.628401,0,13.175261,1,0,14,Adana,Adana,97.46254,4.3892999,0,11.111498
-44.972065,15.853659,0,43.86755,6.6490068,0,17.117117,0,7.6231532,0,0,6,Adana,Adana,102.52145,5.5109491,0,5.5865922
-20.114943,18.238993,0,41.810669,5.4470325,0,17.313433,0,7.6477861,0,0,7,Adana,Adana,118.10733,6.2341919,0,10.188087
-50.589966,25,0,40.530582,6.963891,0,26.5625,,7.3125534,0,0,5,Adana,Adana,101.78439,6.0044246,0,.58997047
-20.688524,15.482444,0,48.166702,5.6969485,0,16.718184,0,10.72093,1,0,12,Adana,Adana,102.13673,5.079607,0,8.0576057
-51.353569,26.44628,0,46.993488,8.9237843,0,28.57143,0,7.1808314,0,0,5,Adana,Adana,109.04723,5.190855,0,.65627563
-51.870327,16.949154,0,40.04612,11.375865,0,22.413794,,6.7440591,0,0,4,Adana,Adana,97.720367,4.8726592,0,.24937657
-43.010754,36.91275,0,36.310272,9.6855345,0,32.846718,0,7.145196,0,0,6,Adana,Adana,102.29008,6.737288,0,2.0609319
-48.535393,26.162792,0,43.940887,8,0,27.837837,0,7.9013772,0,0,6,Adana,Adana,107.22745,5.9917355,0,.73230267
-57.770802,18.848167,0,37.569679,9.3645487,0,17.714287,0,7.2435131,0,0,6,Adana,Adana,96.280083,5.7012711,0,.70643646
-31.963085,23.966942,0,38.170891,4.8089309,0,24.427481,,7.1921821,0,0,6,Adana,Adana,113.27839,5.5059104,0,.33557048
