state,year,dopen,population,presdemvoteshlag1,demmv,demvoteshlag1,demvoteshlag2,demvoteshfor1,demvoteshfor2,demwinprv1,demwinprv2,dmidterm,dpresdem
Connecticut,1914,0,1233000,39.159367,-7.688561,,,46.239407,36.097572,,,1,1
Connecticut,1916,0,1294000,39.159367,-3.9237082,42.076942,,36.097572,45.468746,0,,0,1
Connecticut,1922,0,1431000,33.027374,-6.8686604,36.097572,46.239407,35.641209,45.598213,0,0,1,0
Connecticut,1926,0,1531000,27.5257,-27.668056,45.468746,36.097572,45.598213,48.476063,0,0,1,0
Connecticut,1928,1,1577000,27.5257,-8.2569685,35.641209,45.468746,48.476063,51.746868,0,0,0,0
Connecticut,1932,0,1637000,45.574795,.73248148,45.598213,35.641209,51.746868,39.802643,0,0,0,0
Connecticut,1934,0,1650000,47.398193,3.4937382,48.476063,45.598213,39.802643,53.15107,1,0,1,1
Connecticut,1938,0,1684000,55.323048,-3.0905752,51.746868,48.476063,53.15107,51.987637,1,1,1,1
Connecticut,1944,0,1778000,53.438251,4.7034559,53.15107,39.802643,40.664639,51.678295,1,0,0,1
Connecticut,1952,0,2081000,47.910397,-8.1198635,51.678295,40.664639,43.047768,57.468903,1,0,0,1
Connecticut,1956,0,2316000,43.909779,-11.794811,44.360371,51.678295,57.468903,51.254742,0,1,0,0
Connecticut,1958,0,2446000,36.267632,14.937806,43.047768,44.360371,51.254742,64.644257,0,0,1,0
Connecticut,1962,1,2647000,53.730656,2.5094838,57.468903,43.047768,64.644257,54.291164,1,0,1,1
Connecticut,1964,0,2798000,53.730656,29.306395,51.254742,57.468903,54.291164,33.792454,1,1,0,1
Connecticut,1968,0,2964000,67.806,8.5855637,64.644257,51.254742,33.792454,63.674862,1,1,0,1
Connecticut,1970,1,3032217,49.478199,-7.9507647,54.291164,64.644257,63.674862,41.217743,1,1,1,0
Connecticut,1974,0,3074047,40.129108,29.381487,33.792454,54.291164,41.217743,56.341518,0,1,1,0
Connecticut,1976,0,3083335,40.129108,-16.506035,63.674862,33.792454,56.341518,46.067585,1,0,0,0
Connecticut,1980,1,3107576,47.08382,13.428482,41.217743,63.674862,46.067585,64.763397,0,1,0,1
Connecticut,1982,0,3139013,38.377731,-4.3230863,56.341518,41.217743,64.763397,49.764439,1,0,1,0
